example,ngram,pattern,term
"Mark c's state as Pruned; Return false 10.",return false,return adj,return
She will return it to us there.,return it to us,return n to n,return
Have you made a return on your investment yet?,return on your investment,return on n,return
When will Harry Kane return from his injury?,return from his,return from n,return
"If I return it on time, it doesn't cost me a dime.",return it,return n,return
He’s set to return to New York on New Year’s Day.,return to,return prep/adv,return
He’s set to return to New York on New Year’s Day.,return to,return adv/prep,return
He’s set to return to New York on New Year’s Day.,return,return,return
My attorney would be requesting reunification with his siblings.,reunification with his,reunification with n,reunification
A reunion with his family was being arranged.,reunion with his,reunion with n,reunion
He asked us not to reveal his name for his safety.,reveal his,reveal n,reveal
Neither man would reveal how much the shares were worth.,reveal how,reveal wh,reveal
God will not reveal it to you.,reveal it to you,reveal n to n,reveal
The data reveal that labor is indeed traded within the household.,reveal that,reveal that,reveal
Bush was desperate to keep the Times from running this important story — which the paper had already inexplicably held for a year – because he knew that it would reveal him as a law - breaker.,reveal him as a law,reveal n as n,reveal
Does your choice reveal something about your character ?,reveal something about your character,reveal n about n,reveal
"And of course, any users with read access to this ; file will be able to reveal the password as well.",reveal the password as well,reveal n as adj,reveal
"It is revealing that despite the downgrade, US bond prices rose.",it is revealing that,it v-link revealing that,revealing
Remove the eye and revel in your achievement!,revel in your achievement,revel in n,revel
It’s not a huge revelation that Donald Trump lies.,revelation that,revelation that,revelation
Receive a fresh revelation of his goodness.,revelation of his,revelation of n,revelation
It was a revelation to me.,revelation to me,revelation to n,revelation
"When God gives you a new revelation about His love, soak in it!",revelation about his,revelation about n,revelation
It was a revelation that she did not want at all.,it was a revelation that,it v-link det revelation that,revelation
It was a revelation that seemed to hold so many possibilities.,a revelation,a revelation,revelation
"He has since gone on to swear revenge for his father's death.",revenge for his,revenge for n,revenge
One day Tortoise wanted to revenge himself on his wife.,revenge himself on his,revenge n on n,revenge
Will he get revenge against his abusive parents?,revenge against his,revenge against n,revenge
Was it petulant revenge on his manager and his label?,revenge on his,revenge on n,revenge
Outraged demonstrators ransacked the factory in revenge.,in revenge,in revenge,revenge
NMDC derives a significant portion of its revenue from the sale of iron ore.,revenue from the sale,revenue from n,revenue
"The news media's credibility is sagging along with its revenue.",its revenue,"x+'s revenue",revenue
"Lewis's words are sure to reverberate in Washington.",reverberate in,reverberate prep/adv,reverberate
"Lewis's words are sure to reverberate in Washington.",reverberate in,reverberate adv/prep,reverberate
Respect for God means you show reverence for his name.,reverence for his,reverence for n,reverence
"For many, this tragedy was met with reverence.",with reverence,with reverence,reverence
I spend a few minutes in reverie.,in reverie,in reverie,reverie
"At about age 40, there is a rather abrupt reversal in the trend.",reversal in the trend,reversal in n,reversal
"Thompson sprang a reversal of his own, twisting Sapp’s leg in the process.",reversal of his,reversal of n,reversal
This year’s game represents a role reversal.,a role reversal,n reversal,reversal
The reverse repo rate has been reduced to 6 per cent.,the reverse,the reverse,reverse
"Today, investors are behaving in the same way — but in reverse.",in reverse,in reverse,reverse
